stamford, connecticut, 1
baltimore, maryland, 5
nampa, idaho, 1
ottawa, ontario, 1
sonoma, california, 2
bratslav, russia, 1
beaumont, texas, 1
buenos aires, argentina, 4
an yang city, china, 1
fort meyers, florida, 1
bend, oregon, 1
Norwood, Mass., 2
plainfield, new jersey, 1
Sierra Madre, California;, 1
gary, indiana, 2
gainesville, florida, 1
los angeles, california, 61
erie, pennsylvania, 1
lilienthal, germany, 1
Seaford, DE, 1
arecibo, puerto rico, 1
las vegas, nevada, 1
asheville, north carolina, 2
lakewood, ohio, 1
jamaica, new york, 1
sao paulo, brazil, 1
Lakeview, OR, 1
redbank, new jersey, 1
stevens point, wisconsin, 1
rabat, morocco, 1
Kingston, NY, 1
buffalo, new york, 9
spokane, washington, 1
rahway, new  jersey, 1
new york city, new york, 1
millville, pennsylvania, 1
mckeesport, pennsylvania, 1
oak ridge, tennessee, 1
Evanston, IL, 1
augusta, georgia, 4
boston, Massachusetts;, 1
norfolk, virginia, 2
Cairo, egypt, 1
hermosa beach, california, 1
toronto, canada, 4
columbia, south carolina, 1
downpatrick, northern ireland, 1
jacksonville, florida, 1
greenwich , connecticut, 1
veracruz, mexico, 1
Kamloops, British Columbia;, 1
richmond, virginia, 2
fort campbell, kentucky, 2
Bad Kreuznach, Germany, 1
washington dc, washington dc, 9
mesa, arizona, 1
cambridge, canada, 1
auburn, new york, 1
lincoln, illinois, 1
east jerusalem, isarel, 1
abidjan, ivory coast, 1
orange, new jersey, 2
Hastings, NE, 1
herington, kansas, 1
redondo beach, california, 1
New Britain, Conn., 1
chicago, illinois, 58
canton, ohio, 3
herford, germany, 1
albany, georgia, 1
des moines, iowa, 1
portland, oregon, 4
lead, south dakota, 1
hong kong, hong kong, 3
taiwan, taiwan, 1
austin, texas, 2
la jolla, california, 1
Huntsville, AL, 1
Boulogne-Billancourt, France, 1
utsunomiya, japan, 1
Monroe, Ill., 1
lexington , virginia, 2
galesburg, illinois, 1
edmonton, canada, 1
rock springs, wyoming, 1
fort riley, kansas, 1
espanola, new mexico, 1
new jersey, new jersey, 2
Easton, Maryland;, 1
plattsburgh, new york, 1
paris, france, 8
Wallingford, Conn., 1
caracas, venezuela, 1
minot, north dakota, 1
hammonton, new jersey, 1
shanghai, china, 1
mcMinnville, oregon, 1
dearborn, michicgan, 1
santurce, puerto rico, 1
redwood city, california, 1
la crosse, wisconsin, 1
perislav poltava, russia, 1
barcelona, spain, 2
daly city, california, 1
oak ridge, massachusetts, 1
boston, massachussets, 1
miami, Florida;, 1
midland, michigan, 1
canada, canada, 2
waco, texas, 2
mount kisco, new york, 1
south bend, indiana, 1
alexandria, minnisota, 1
campbellton, new brunswick, 1
hanoi, vietnam, 1
bluff, utah, 1
riga livonia, russia, 1
Warsaw, poland, 1
idaho falls, idaho, 1
mexia, texas, 1
New York, NY, 4
Mexico, Pennsylvania;, 1
Saigon, vietnam, 1
fairfax, virginia, 1
reviere du loup, canada, 1
englewood, new jersey, 1
bradford, england, 1
aberdeen, washington, 1
alexandria, minnesota, 2
Woburn, Massachusetts;, 1
teheran, iran, 1
brookline, massachusetts, 1
belfast, ireland, 1
San Diego, CA, 1
royal oak, michigan, 1
abbotsford, canada, 1
beijing, china, 2
Qazvin, Iran, 1
torrington, connecticut, 3
morristown, new jersey, 1
Honolulu, hawaii, 1, ["St.Paul\s Cray", \england\]: 1
gabrovo, bulgaria, 1
berkeley, california, 5
Salt Lake City, Utah, 1
Ames, iowa, 1
san jose, california, 5
oklahoma city, oklahoma, 5
grand forks, north dekota, 1
fort worth, texas, 4
Saint Louis, missouri, 1
brooklyn, new york, 26
barbados, west indies, 1
nashville, tennesee, 1
belgrade, , 1
Karachi, Pakistan;, 1
Hobart, Indiana, 1
marblehead, Massachusetts;, 1
New York, new York, 1
winchester, massachusetts, 1
borisoglebsk tambov, russia, 1
houston, texas, 8
Baltimore, maryland, 1
lansing, michigan, 2
jerusalem, isarel, 2
saint louis, missouri, 2
texas, texas, 1
pittsfield, massachusetts, 3
corsica, france, 1
san leandro, california, 1
pomona, california, 1
santiago, chile, 4
christchurch, new zealand, 1
krefeld, germany, 1
Miami, Florida;, 1
layfayette, indiana, 2
indianapolis, indiana, 3
excelsior springs, missouri, 2
Ithaca, N.Y., 1
Chicago, IL, 1
fort bragg, north carolina, 1
ventura, california, 1
addis ababa, ethiopia, 1
oslo, norway, 1
Warsaw, Poland;, 2
waterbury, connecticut, 1
glendale, california, 1
barre, vermont, 2
red oak, iowa, 1
semeniskiai, lithuania, 1
Bronxville, N.Y., 2
madrid, spain, 1
Los Gatos, CA, 1
San Francisco, california, 2
boothbay harbor, maine, 1
stuart, florida, 1
Boston, mass., 1
norman, oaklahoma, 3
Boulder, Colo., 1
phoenixville, pennsylvania, 1
grand junction, colorado, 1
edmundston New Brunswick, canada, 1
New York, New york, 1
red bank, new jersey, 1
reykjavik, iceland, 2
cleveland, ohio, 14
richmond hill, new york, 1
national city, california, 5
eugene, oregon, 1
taiwan, , 1
Hammond, IN, 1
tijuana, mexico, 1
amsterdam, netherlands, 1
Cortex, Calif., 1
Cincinnati, ohio, 1
mansfield, ohio, 2
reykajavik, iceland, 1
Dayton, Ohio;, 1
miami, fl, 1
vallejo, california, 1
ramat gan, isarel, 1
hodgeman city, kansas, 1
San Francisco, ca, 4
la irada, california, 1
anaheim, california, 1
clinton, south carolina, 1
New Orleans, LA, 1
connellsville, pennsylvania, 1
Sydney, Australia, 1
washington DC, washington DC, 15
st. louis, missouri, 5
Bayamo\\xcc\\x81n, Puerto Rico, 1
Milwaukee, WI, 1
plymouth, massachusetts, 2
hempstead, new york, 2
kalemyo, burma, 1
detroit, michigan, 23
Baltimore, Maryland;, 1
budapest, hungary, 1
Mexico, mexico, 1
Heber City, UT, 1
palo alto, california, 2
long beach, california, 9
boston, ma, 6
kalamazoo, michigan, 2
Hampton, Virginia;, 1
los angeles, ca, 2
Stamford, Conn., 1
benicia, california, 2
tokyo, japan, 3
mamou, louisiana, 2
gastonia, north carolina, 3
grosse point, michigan, 1
santa monica, california, 12
East Newark, New Jersey;, 1
Philadelphia, pennsylvania, 2
Burlington, VT, 1
chicago, il, 3
South Bend, Ind., 2
rotterdam, netherlands, 1
dnepropetrovsk, soviet union, 1
bryn mawr, pennsylvania, 2
new philadelphia, ohio, 1
Montmorot (Jura), France;, 1
arkansas, arkansas, 1
Whitefish Bay, WI, 1
osaka, japan, 1
freeport, bahamas, 1
cochabamba, bolivia, 1
dublin, ireland, 1
saginaw, michigan, 1
Los Angeles, CA, 4
dayton, ohio, 1
Columbus, OH;, 1
danville, pennsylvania, 1
sharon, pennsylvania, 1
east orange, new jersey, 1
McAllen, texas, 1
bridgeport, connecticut, 1
ithaca, new york, 1
Detroit, MI, 1
cincinnati, ohio, 5
Mainz, Germany, 1
cologne, germany, 4
nuremberg, germany, 3
arlington, massachussets, 1
monrovia, liberia, 2
charleville-mezieres, france, 1
Birmingham, Ala., 1
Hamilton Ontario, Canada, 1
holyoke, massachusetts, 4
new york, new york, 172
ponce, puerto rico, 1
compton, california, 1
tulsa, oklahoma, 2
bluffton, indiana, 1
Liverpool UK, UK, 1
philadelphia, pennsylvania, 27
vienna, austria, 1
united states, united states, 4
Newark, new jersey, 1
worcester, massachusetts, 4
, Japan, 1
Queens, NY, 1
Washington, DC, 2
havana, cuba, 2
sheboygan, wisconsin, 1
euclid, ohio, 1
tonawanda, new york, 1
wilkes-barre, pennsylvania, 2
lee city, kentucky, 1
highland park, new jersey, 2
liberty, new york, 1
Leeds, England;, 1
schaffhausen, switzerland, 1
mason city, washington, 2
lublin, poland, 1
McMinnville, oregon, 1
columbus, georgia, 1
media, pennsylvania, 1
kane, pennsylvania, 1
Vancouver, Canada, 1
Amsterdam, The Netherlands;, 1
saint cloud, minnesota, 1
danbury, connecticut, 1
far rockaway, new york, 1
lafayette, indiana, 1
Los Angeles, CA;, 1
shchors, ukraine, 1
woodland, california, 1
tucson, arizona, 5
montreal, canada, 8
bilbao, spain, 1
new orleans, louisiana, 1
gallipolis, ohio, 2
los Angeles, california, 1
maspeth, new york, 1
East Brunswick, N.J., 1
evansville, indiana, 1
paterson, new jersey, 1
Minneapolis, minnisota, 2
newark, new jersey, 11
Beirut, Lebanon, 1
Des Moines, iowa, 1
cambridge, massachussets, 1
Madrid, spain, 3
Tupelo, Miss., 1
new castle, pennsylvania, 1
salinas, california, 1
Washington, AR, 1
, , 31
shreveport, louisiana, 2
san juan, puerto rico, 5
palm springs, california, 1
luton, england, 1
New Brunswick, N.J., 1
Derry, New Hampshire;, 1
ramat-Gan, isarel, 1
waterville, maine, 1
national city, ca, 1
glen ridge, new jersey, 4
rochester, indiana, 1
, massachusetts, 1
switzerland, switzerland, 1
panama canal zone, panama canal, 1
melbourne, australia, 1
chappaqua, new york, 1
south dakota, south dakota, 1
fargo, north dakota, 2
brooklyn,  new york, 1
la jolla indian reservation, california, 1
hollywood, california, 8
washington, arkansas, 1
hammond, indiana, 2
flekkefjord, norway, 1
east jerusalem, israel, 1
Liberty, NY, 1
verdun, france, 1
miami, florida, 5
riga, latvia, 3
elizabeth, new jersey, 4
columbus, ohio, 5
London, england, 1
atlanta, georgia, 2
newfoundland, canada, 4
Milwaukee, Wisconsin;, 1
Chicago, Ill., 1
niagara falls, new york, 2
somerville, new jersey, 1
peoria, illinois, 1
moscow, soviet union, 1
fairfield, illinois, 1
whichita, kansas, 1
long branch, new jersey, 2
Liberty, new york, 1
Dallas, texas, 1
cocoa beach, florida, 1
edinburgh, scotland, 2
dearborn, michigan, 8
Eganville Ontario, Canada, 1
racine, wisconsin, 1
boulogne, france, 1
bartica, guyana, 1
Concord, New Hampshire;, 1
new haven, connecticut, 7
lexington, virginia, 1
taegu, korea, 1
york, england, 1
guatemala city, guatamala, 1
vega alta, puerto rico, 1
port arthur, texas, 2
Louisiana, Louisiana, 1
Bitburg, Germany, 1
inglewood, california, 1
hartford, connecticut, 4
concord, new hampshire, 2
upland, california, 1
chapel hill, north carolina, 2
norwood, massachusetts, 1
monroe, washington, 3
biala podlaska, poland, 1
billings, montana, 2
Rahway, N.J., 1
Edina, Minnesota;, 1
Yokohama, Japan;, 1
jerusalem, Israel, 1
stuttgart, germany, 1
highland park, illinois, 1
Miami, FL, 1
lake charles, louisiana, 3
dehra dun, india, 1
mcPherson, kansas, 2
sunburg, minnesota, 1
springfield, illinois, 2
cambridge, massachusetts, 1
torrance, california, 1
chester, england, 1
tacoma, washington, 1
norwood, Massachusetts;, 1
, denmark, 1
seattle, wa, 1
nyack, new york, 1
andover, massachusetts, 1
Ithaca, NY, 1
bedford, indiana, 2
brownsville, texas, 1
alton, illinois, 1
greensboro, alabama, 2
webster, texas, 1
paris, texas, 1
soeoul,  korea, 1
duboise crossroads, south carolina, 1
paisley, scotland, 1
bern, switzerland, 1
Fukushima, Japan, 1
Grand Island, NE, 1
vancouver, canada, 2
Manila, Philippines, 1
lewiston, maine, 1
Columbus, Ohio, 1
quincy, ma, 1
springfield, new jersey, 1
new hampshire, new hampshire, 1
eureka, california, 1
Buenos Aires, argentina, 1
boston, massachusets, 1
Miami, florida, 1
bloomfield, iowa, 1
vancouver, british columbia, 1
hamilton ontario, canada, 1
lynwood, california, 1
kastoria macedonia, greece, 1
anturce, puerto Rico, 1
Bayam\\xc3\\xb3n, Puerto Rico, 1
pittsfiled, massachusetts, 1
boulder, calorado, 1
aberdeen, scotland, 1
Milwaukee, wisconsin, 1
Boston, Massachusetts;, 4
Springfield, IL;, 1
Springfield, Mass., 1
Philadelphia, PA, 3
wheeling, west virginia, 1
Fort Collins, CO, 1
Albuquerque, New Mexico, 1
Tijuana, Mexico, 2
vaxholm, sweden, 1
lithuania, lithuania, 1
beirut, lebanon, 1
seoul, korea, 4
madison, wisconsin, 2
vicksburg, mississippi, 1
norridge, illinois, 1
mcpherson, kansas, 1
Fort Sill, Okla., 1
kansas, kansas, 1
north tonawanda, new york, 4
worcester, massachusets, 1
zurich, switzerland, 2
Fontana, CA, 1
phoenix, arizona, 1
salt lake city, utah, 2
port-au-prince, haiti, 1
denver, colorado, 3
omaha, nebraska, 3
escondido, california, 1
Fort Worth, texas, 2
goodyear, arizona, 1
great falls, montana, 1
Norfolk, Va., 1
dobbs ferry, new york, 1
norwich, connecticut, 1
panama Canal, panama canal, 1
Meridianville, Alabama;, 1
lima, peru, 1
mobile, alabama, 1
wooster, ohio, 3
chicago heights, illinois, 1
Chicago, Illinois;, 3
birthplace city, birthplace state or country, 1
hopi Reservation, arizona, 1
fort wayne, indiana, 5
Fujian Province, China, 1
Portsmouth, VA, 1
worcester, ma, 1
keewanee, illinois, 1
Washington, DC;, 1
essen , germany, 1
Oelwein, iowa, 1
brno, czechoslovakia, 3
saint paul, minnesota, 1
seattle, washington, 9
New York City, New York, 1
washington dc, Washington dc, 1
Ft. Lauderdale, FL, 1
jefferson island, louisiana, 1
pasadena, ca, 1
Fukuoka, Japan, 1
sumter, south carolina, 1
atlantic city, new jersey, 1
wichita, kansas, 3
merrill, wisconsin, 1
st. charles, illinois, 2
lahore, pakistan, 1
laredo, texas, 1
summit, new jersey, 1
Cologne, Germany, 1
pineville, kentucky, 1
lago, italy, 1
council bluffs, iowa, 1
malden, massachusetts, 4
moxee, washington, 1
Hue, Vietnam;, 1
fresno, california, 2
long island, new york, 1
bronxville, new york, 5
Lynchburg, virginia, 1
santa barbara, california, 1
leonia, new jersey, 1
Pasadena, California;, 1
washington Dc, washington DC, 1
Los Angeles, ca, 2
akron, ohio, 2
milwaukee, wisconsin, 9
poughkeepsie, new york, 2
aberdeen, south dakota, 1
tel aviv, isarel, 1
St. Paul, MN, 1
oak park, illinois, 1
pittsfield, maine, 1
Santa Monica, CA, 1
kent, england, 2
stockholm, sweden, 2
fall river, massachusetts, 1
jerusalem, isreal, 1
providence, rhode island, 9
saint maries, idaho, 1
el paso, texas, 5
kutztown, pennsylvania, 2
Elkhorn, Wisconsin;, 1
harrisburg, pennsylvania, 2
Philadelphia, Pennsylvania;, 1
hamburg, pennsylvania, 1
merano, italy, 1
