o-lat,o-lng,d-lat,d-lng
34.0536781,-118.2427025,41.8756208,-87.6243706
34.0007104,-81.0348144,40.7305991,-73.9865812
37.4137536,-79.1422464,40.7305991,-73.9865812
32.7469869,-117.21177,40.6501038,-73.9495823
43.0481221,-76.1474244,34.0536781,-118.2427025
34.0922335,-117.435048,34.0536781,-118.2427025
34.0552886,-117.7522793,34.0536781,-118.2427025
42.3709299,-71.1828321,40.7305991,-73.9865812
46.5850936,-94.9606684,40.7305991,-73.9865812
40.7305991,-73.9865812,41.8756208,-87.6243706
26.1223084,-80.1433786,51.5072759,-0.1276597
23.2160437,-157.975203,40.7305991,-73.9865812
41.1670412,-73.2048348,40.7305991,-73.9865812
41.9270987,-73.99611,41.8756208,-87.6243706
34.0195598,-118.4869739,32.7469869,-117.21177
48.8357506,2.2399217,40.7305991,-73.9865812
40.9009314,-73.3431727,34.0536781,-118.2427025
42.0346917,-93.6201507,40.7305991,-73.9865812
42.0447388,-87.6930459,40.6501038,-73.9495823
44.2022293,-88.4465361,40.7305991,-73.9865812
37.7588737,140.4692432,40.7305991,-73.9865812
31.7774287,35.2247239,40.7305991,-73.9865812
42.3604823,-71.0595678,30.2711286,-97.7436995
34.577882,-86.8358347843877,40.7305991,-73.9865812
17.9712148,-76.7928128,40.6501038,-73.9495823
43.254687,-79.8678197,40.7305991,-73.9865812
57.7247008,13.1008257,40.7305991,-73.9865812
33.6676103,-84.0176904,40.7305991,-73.9865812
40.7305991,-73.9865812,34.0536781,-118.2427025
36.730738,-119.699200933824,41.8756208,-87.6243706
36.8354258,-76.2981742,40.7305991,-73.9865812
41.5322592,-87.2550353,40.8514822,-73.8423837057335
37.2333645,-121.947273077603,41.8756208,-87.6243706
-33.2138889,151.5216667,34.0536781,-118.2427025
18.398755,-66.1559564,41.8756208,-87.6243706
41.5833658,-87.500043,40.6501038,-73.9495823
36.5748441,139.2394179,34.0536781,-118.2427025
49.9732762,6.524947,34.0536781,-118.2427025
46.9895435,6.9292679,42.3604823,-71.0595678
39.9622601,-83.0007065,41.4457155,-87.0724971
40.7654301,-73.8174291,40.6501038,-73.9495823
14.5906216,120.9799696,34.0536781,-118.2427025
40.5065256,-111.4133091,34.1270868551444,-116.319190111495
40.7305991,-73.9865812,40.7305991,-73.9865812
47.6038321,-122.3300624,40.7305991,-73.9865812
41.5931049,-81.5267873,34.0536781,-118.2427025
21.304547,-158.8556764,34.0536781,-118.2427025
34.0536781,-118.2427025,41.8756208,-87.6243706
42.2681569,-83.7312291,34.0536781,-118.2427025
36.607958,-93.2810170588579,37.7789601,-122.419199
-33.8548157,151.2164539,40.7305991,-73.9865812
25.7742658,-80.1936589,34.0536781,-118.2427025
53.4054719,-2.9805393,42.3604823,-71.0595678
39.1014537,-84.5124602,40.7305991,-73.9865812
43.0349931,-87.922497,43.0349931,-87.922497
45.5406943,-77.1004317,45.5406943,-77.1004317
44.4723989,-73.2114941,38.384423,-122.833228177833
34.0536781,-118.2427025,41.8756208,-87.6243706
42.4396039,-76.4968019,34.0966764,-117.7197785
41.8012002,-74.74655,40.7305991,-73.9865812
29.9499323,-90.0701156,40.7305991,-73.9865812
39.1014537,-84.5124602,41.8756208,-87.6243706
49.9999952,8.2710237,40.7305991,-73.9865812
39.952335,-75.163789,40.7305991,-73.9865812
30.3321838,-81.655651,40.7305991,-73.9865812
34.0536781,-118.2427025,34.0536781,-118.2427025
-27.4689682,153.0234991,40.7305991,-73.9865812
42.3604823,-71.0595678,42.3604823,-71.0595678
42.0645396,-72.5125863,41.8756208,-87.6243706
49.2499987,-123.1333301,39.952335,-75.163789
26.2260035,-98.2373177181604,41.8756208,-87.6243706
37.7789601,-122.419199,34.0536781,-118.2427025
42.3486635,-83.0567375,40.6501038,-73.9495823
38.8951148,-77.0363716,40.6501038,-73.9495823
40.651018,-73.792546618181,41.8756208,-87.6243706
40.5508527,-105.0668085,34.0536781,-118.2427025
38.6574365,-75.6088567512992,40.7305991,-73.9865812
42.129461,-80.085239,34.0536781,-118.2427025
42.8808677,-71.3264492,40.7305991,-73.9865812
21.304547,-157.8556764,41.8756208,-87.6243706
41.8986734,-78.718919,40.7305991,-73.9865812
40.767323,-74.2048677,41.765599,-72.6905850074112
40.7305991,-73.9865812,40.7305991,-73.9865812
40.9250124,-98.342007,40.2414952,-75.2837862
40.6501038,-73.9495823,50.8465406,4.3516841
49.3816667,3.3236111,40.6501038,-73.9495823
39.7989763,-89.6443688,40.7305991,-73.9865812
30.6765553,104.0612783,40.7305991,-73.9865812
41.8756208,-87.6243706,41.8756208,-87.6243706
38.8951148,-77.0363716,34.0195598,-118.4869739
42.1887721,-120.345792,32.7469869,-117.21177
35.9672625,-94.2280656,52.5170365,13.3888599
39.952335,-75.163789,40.7305991,-73.9865812
42.3604823,-71.0595678,41.2889866,-72.6817616
40.5861246,-98.388393,40.7305991,-73.9865812
34.0536781,-118.2427025,34.0536781,-118.2427025
29.9519265,-95.5409169840524,41.9270987,-73.99611
42.2681569,-83.7312291,40.7305991,-73.9865812
40.8499965,-101.5435011,34.0536781,-118.2427025
33.8959203,35.47843,37.8590938,-122.4852507
42.2586342,-87.840625,40.6501038,-73.9495823
