year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
1975,33,paul kos,1942,rock springs,wyoming,san francisco,california,,
1995,48,david knudsvig,1947,stoughton,wisconsin,new york,new york,,
2010,33,lesley vance,1977,milwaukee,wisconsin,los angeles,california,,
2010,30,josh brand,1980,elkhorn,wisconsin,brooklyn,new york,,
1993,50,ernie gehr,1943,wisconsin,wisconsin,san francisco,california,,
1983,40,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,
1981,38,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,
2008,45,mk guth,1963,stevens point,wisconsin,portland,oregon,,
1975,42,robert j. warrens,1933,sheboygan,wisconsin,baton rouge,louisiana,,
1975,38,gene beery,1937,racine,wisconsin,petaluma,california,,
2006,64,james benning,1942,milwaukee,wisconsin,val verde,california,,
2002,49,scott stark,1953,milwaukee,wisconsin,san francisco,california,,
1983,41,james benning,1942,milwaukee,wisconsin,new york,new york,,
1981,39,james benning,1942,milwaukee,wisconsin,new york,new york,,
1979,36,james benning,1943,milwaukee,wisconsin,del mar,california,,
1975,34,robert thiele,1941,milwaukee,wisconsin,miami beach,florida,,
1981,34,arthur ollman,1947,milwaukee,wisconsin,oakland,california,,
2002,33,mary flanagan,1969,milwaukee,wisconsin,eugene,oregon,,
1975,29,john s. gordon,1946,milwaukee,wisconsin,venice,california,,
2000,27,sadie benning,1973,milwaukee,wisconsin,chicago,illinois,,
1975,33,thomas m. uttech,1942,merrill,wisconsin,milwaukee,wisconsin,,
1975,25,paula nees,1950,madison,wisconsin,middleton,wisconsin,,
1993,20,sadie benning,1973,madison,wisconsin,buffalo,new york,,
2008,39,corey mccorkle,1969,la crosse,wisconsin,new york,new york,,
2014,57,david robbins,1957,whitefish bay,wisconsin,shorewood,wisconsin,,
2014,50,paul druecke,1964,milwaukee,wisconsin,milwaukee,wisconsin,,
2014,36,philip vanderhyden,1978,menasha,wisconsin,new york,new york,,
2004,30,aida ruilova,1974,wheeling,west virginia,new york,new york,,
1975,28,jan lee mccomas,1947,huntington,west virginia,dallas,texas,,
1975,39,bill richards,1936,grantsville,west virginia,philadelphia,pennsylvania,,
1989,30,ashley bickerton,1959,barbados,west indies,new york,new york,,
1995,42,nan goldin,1953,,washington dc,new york,new york,,
2010,55,jim lutes,1955,fort lewis,washington,chicago,illinois,,
2004,62,morgan fisher,1942,,washington dc,santa monica,california,,
1983,59,richard artschwager,1924,,washington dc,new york,new york,charlottesville,new york
1973,53,gene davis,1920,,washington dc,washington dc,washington d.c.,,
1985,52,douglas davis,1933,,washington dc,new york,new york,,
1989,48,martin puryear,1941,,washington dc,chicago,illinois,,
2004,45,bruce mcclure,1959,,washington dc,brooklyn,new york,,
1985,43,morgan fisher,1942,,washington dc,santa monica,california,,
2002,43,bruce mcclure,1959,,washington dc,brooklyn,new york,,
1981,40,martin puryeur,1941,,washington dc,chicago,illinois,,
1993,40,nan goldin,1953,,washington dc,new york,new york,,
1979,38,martin puryear,1941,,washington dc,chicago,illinois,,washington dc
1985,37,dan reeves,1948,,washington dc,interlaken,new york,,
2004,37,deborah stratman,1967,,washington dc,chicago,illinois,,
1975,35,leonard l. hunter iii,1940,,washington dc,lexington,kentucky,,
1991,35,cady noland,1956,,washington dc,bronxville,new york,,
2002,35,margaret kilgallen,1967,,washington dc,san francisco,california,,
2004,33,jeremy blake,1971,,washington dc,los angeles,california,,
1985,32,nan goldin,1953,,washington dc,new york,new york,,
2006,30,yuri masnyj,1976,,washington dc,new york,new york,,
1973,30,tony robbin,1943,,washington dc,new york,new york,,
1981,30,russ warren,1951,,washington dc,davidson,north carolina,,
1997,30,leah gilliam,1967,,washington dc,rhinebeck,new york,,
1973,28,joe haske,1945,,washington dc,new york,new york,,
1997,27,paul d. miller,1970,,washington dc,new york,new york,,
1993,26,donna golden,1967,,washington dc,new york,new york,,
1975,25,john ford,1950,,washington dc,sacramento,california,,
1975,40,wanda westcoast,1935,seattle,washington dc,venice,california,,
2002,50,mark lapore,1952,tacoma,washington,chestnut hill,massachusetts,,
2004,47,jim hodges,1957,spokane,washington,new york,new york,,
1973,44,jo baer,1929,seattle,washington,new york,new york,,
2004,39,t.j. wilcox,1965,seattle,washington,new york,new york,,
1977,34,terry fox,1943,seattle,washington,san francisco,california,,
2004,34,cameron martin,1970,seattle,washington,brooklyn,new york,,
1975,32,terry fox,1943,seattle,washington,san francisco,california,,
1991,32,jessica stockholder,1959,seattle,washington,new york,new york,,
1997,32,t.j. wilcox,1965,seattle,washington,new york,new york,,
1989,29,scott sinkler,1960,seattle,washington,new york,new york,,
2004,27,wynne greenwood,1977,seattle,washington,brooklyn,new york,,
1979,33,dennis evans,1946,moxee,washington,seattle,washington,,
1991,51,chuck close,1940,monroe,washington,new york,new york,,
1979,39,chuck close,1940,monroe,washington,new york,new york,,
1977,37,chuck close,1940,monroe,washington,new york,new york,,
1981,43,dennis oppenheim,1938,mason city,washington,new york,new york,,
1977,39,dennis oppenheim,1938,mason city,washington,new york,new york,,
1981,54,edward kienholz,1927,fairfield,washington,hope,idaho,berlin,germany
1973,58,robert motherwell,1915,aberdeen,washington,new york,new york,,
2014,44,jennifer stein,1970,seattle,washington,new york,new york,and berlin,germany
2012,37,oscar tuazon,1975,seattle,washington,paris,france,,
2014,51,ben kinmont,1963,burlington,vermont,sebastopol,california,,
2010,35,richard aldrich,1975,hampton,virginia,brooklyn,new york,,
2002,46,tony cokes,1956,richmond,virginia,providence,rhode island,,
2004,34,katie grinnan,1970,richmond,virginia,los angeles,california,,
1993,51,robbie mccauley,1942,norfolk,virginia,new york,new york,,
1995,48,stephen mueller,1947,norfolk,virginia,new york,new york,,
1975,38,joseph clower,1937,norfolk,virginia,boulder,colorado,,
2014,29,kevin beasley,1985,lynchburg,virginia,new york,new york,,
1991,63,cy twombly,1928,lexington ,virginia,new york,new york,,
1991,40,sally mann,1951,lexington ,virginia,lexington,virginia,,
1995,67,cy twombly,1928,lexington,virginia,lexington,virginia,,
1973,44,cy twombly,1929,lexington,virginia,new york,new york,,
2000,29,kojo griffin,1971,farmville,virginia,atlanta,georgia,,
2012,35,dawn kasper,1977,fairfax,virginia,los angeles,california,,
2002,31,richard chartier,1971,alexandria,virginia,arlington,virginia,,
2010,24,tam tran,1986,hue,vietnam,memphis,tennessee,,
2000,34,t. kim-trang tran,1966,saigon,vietnam,los angeles,california,,
