year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,b latitude,b longitude,work place city,work place state,w latitude,w longitude
1973,47,robert hartman,1926,sharon,pennsylvania,41.233112,-80.493403,berkeley,california,37.871593,-122.272747
1973,32,michael d. hall,1941,upland,california,34.09751,-117.648388,bloomfield hills,michigan,42.583645,-83.245488
1973,47,george ortman,1926,oakland,california,37.804364,-122.271114,bloomfield hills,michigan,42.583645,-83.245488
1973,31,andy tavarelli,1942,new york,new york,40.714353,-74.005973,boston,massachusetts,42.358431,-71.059773
1973,31,cynthia carlson,1942,chicago,illinois,41.878114,-87.629798,boulder,colorado,40.014986,-105.270546
1973,51,h. c. westermann,1922,los angeles,california,34.052234,-118.243685,brookfield center,connecticut,41.466206,-73.38762
1973,59,charles schucker,1914,gap,pennsylvania,39.987325,-76.020507,brooklyn,new york,40.65,-73.95
1973,69,edgar tolson,1904,lee city,kentucky,37.739256,-83.332958,campton,kentucky,37.734253,-83.547409
1973,27,christina ramberg,1946,fort campbell,kentucky,36.663447,-87.47739,chicago,illinois,41.878114,-87.629798
1973,34,ed paschke,1939,chicago,illinois,41.878114,-87.629798,chicago,illinois,41.878114,-87.629798
1973,32,roger brown,1941,hamilton,alabama,34.142324,-87.988644,chicago,illinois,41.878114,-87.629798
1973,30,robert wade,1943,austin,texas,30.267153,-97.743061,dallas,texas,32.78014,-96.800451
1973,46,david mcmanaway,1927,chicago,illinois,41.878114,-87.629798,dallas,texas,32.78014,-96.800451
1973,37,gary hudson,1936,auburn,new york,42.931734,-76.566053,del mar,california,32.959489,-117.265315
1973,36,lester johnson,1937,minneapolis,minnesota,44.983334,-93.26667,detroit,michigan,42.331427,-83.045754
1973,29,kay kurt,1944,dubuque,iowa,42.500558,-90.664572,duluth,minnesota,46.786672,-92.100485
1973,61,tony smith,1912,south orange,new jersey,40.748928,-74.26099,east orange,new jersey,40.767323,-74.204868
1973,37,sidney goodman,1936,philadelphia,pennsylvania,39.952335,-75.163789,elkins park,pennsylvania,40.069704,-75.125349
1973,30,terry allen,1943,wichita,kansas,37.688889,-97.336111,fresno,california,36.746842,-119.772587
1973,70,alfred jensen,1903,guatemala city,guatamala,14.613333,-90.535278,glenridge,new jersey,40.805378,-74.203757
1973,37,gregory gillespie,1936,roselle park,new jersey,40.664547,-74.264313,haydenville,massachusetts,42.375088,-72.700924
1973,45,james boynton,1928,fort worth,texas,32.755488,-97.330766,houston,texas,29.760193,-95.36939
1973,34,salle werner,1939,,,,,houston,texas,29.760193,-95.36939
1973,28,christopher sproat,1945,boston,massachusetts,42.358431,-71.059773,jamaica plain,massachusetts,42.309737,-71.115143
1973,46,john mason,1927,madrid,spain,40.416775,-3.70379,los angeles,california,34.052234,-118.243685
1973,29,gilah hirsch,1944,montreal,canada,45.50867,-73.553992,los angeles,california,34.052234,-118.243685
1973,31,joel bass,1942,los angeles,california,34.052234,-118.243685,los angeles,california,34.052234,-118.243685
1973,40,jaqueline gourevitch,1933,,,,,middletown,connecticut,41.562321,-72.650649
1973,37,william allan,1936,,,,,mill valley,california,37.906037,-122.544976
1973,53,jimmy ernst,1920,cologne,germany,50.937531,6.960279,new canaan,connecticut,41.146763,-73.494844
1973,40,robert gordy,1933,jefferson island,louisiana,29.979461,-91.980813,new orleans,louisiana,29.951066,-90.071532
1973,30,tony robbin,1943,,washington dc,38.907231,-77.036464,new york,new york,40.705631,-73.978003
1973,28,joe haske,1945,,washington dc,38.907231,-77.036464,new york,new york,40.705631,-73.978003
1973,44,jo baer,1929,seattle,washington,47.60621,-122.332071,new york,new york,40.705631,-73.978003
1973,58,robert motherwell,1915,aberdeen,washington,46.975371,-123.815722,new york,new york,40.705631,-73.978003
1973,44,cy twombly,1929,lexington,virginia,37.784021,-79.442816,new york,new york,40.705631,-73.978003
1973,39,neil williams,1934,bluff,utah,37.284445,-109.551788,new york,new york,40.705631,-73.978003
1973,51,jules olitski,1922,shchors,ukraine,51.816667,31.95,new york,new york,40.705631,-73.978003
1973,61,alexander liberman,1912,kiev,ukraine,50.4501,30.5234,new york,new york,40.705631,-73.978003
1973,48,robert rauschenberg,1925,port arthur,texas,29.88495,-93.939947,new york,new york,40.705631,-73.978003
1973,28,peter reginato,1945,dallas,texas,32.78014,-96.800451,new york,new york,40.705631,-73.978003
1973,51,ray parker,1922,south dakota,south dakota,43.969515,-99.901813,new york,new york,40.705631,-73.978003
1973,31,ernest frazier,1942,duboise crossroads,south carolina,34.25682,-79.982286,new york,new york,40.705631,-73.978003
1973,73,adja yunkers,1900,riga livonia,russia,42.385879,-83.322252,new york,new york,40.705631,-73.978003
1973,73,louise nevelson,1900,perislav poltava,russia,,,new york,new york,40.705631,-73.978003
1973,74,raphael soyer,1899,borisoglebsk tambov,russia,52.716667,41.416667,new york,new york,40.705631,-73.978003
1973,73,jack tworkov,1900,biala podlaska,poland,52.038713,23.144503,new york,new york,40.705631,-73.978003
1973,49,philip pearlstein,1924,pittsburgh,pennsylvania,40.440625,-79.995886,new york,new york,40.705631,-73.978003
1973,44,neil welliver,1929,millville,pennsylvania,41.120363,-76.529949,new york,new york,40.705631,-73.978003
1973,34,peter bradley,1939,connellsville,pennsylvania,40.017852,-79.589483,new york,new york,40.705631,-73.978003
1973,34,louise fishman,1939,philadelphia,pennsylvania,39.952335,-75.163789,new york,new york,40.705631,-73.978003
1973,46,kenneth snelson,1927,pendleton,oregon,45.672075,-118.788597,new york,new york,40.705631,-73.978003
1973,36,john clem clarke,1937,bend,oregon,44.058173,-121.31531,new york,new york,40.705631,-73.978003
1973,51,richard mcdermott miller,1922,new philadelphia,ohio,40.489787,-81.445671,new york,new york,40.705631,-73.978003
1973,42,tom wesselmann,1931,cincinnati,ohio,39.103118,-84.51202,new york,new york,40.705631,-73.978003
1973,38,jim dine,1935,cincinnati,ohio,39.103118,-84.51202,new york,new york,40.705631,-73.978003
1973,36,james reineking,1937,minot,north dakota,48.23251,-101.296273,new york,new york,40.705631,-73.978003
1973,49,kenneth noland,1924,asheville,north carolina,35.595058,-82.551487,new york,new york,40.705631,-73.978003
1973,36,harvey quaytman,1937,queens,new york,40.728224,-73.794852,new york,new york,40.705631,-73.978003
1973,34,jake berthot,1939,niagara falls,new york,43.096214,-79.037739,new york,new york,40.705631,-73.978003
1973,50,ellsworth kelly,1923,newburgh,new york,41.503427,-74.010418,new york,new york,40.705631,-73.978003
1973,67,ludwig sander,1906,new york city,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,61,buffie johnson,1912,new york city,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,70,adolph gottlieb,1903,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,61,george sugarman,1912,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,51,ed ruda,1922,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,50,roy lichtenstein,1923,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,47,mon levinson,1926,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,46,alfred leslie,1927,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,45,al held,1928,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,45,helen frankenthaler,1928,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,43,alice adams,1930,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,39,susan smith,1934,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
1973,39,will horwitt,1934,new york,new york,40.714353,-74.005973,new york,new york,40.705631,-73.978003
